30344	1	0	0
30466	1	0	0
31084	0	0	0
34552	1	0	0
32538	1	0	0
32951	0	0	0
33564	0	0	0
31367	0	0	0
34047	1	1	1
33491	1	0	0
33064	1	0	0
32025	0	0	0
31184	1	1	1
30102	1	0	1
31454	1	1	0
32070	0	0	1
31241	0	0	0
30333	1	1	1
31923	0	0	0
31966	1	0	0
30277	0	0	1
31477	0	0	0
33750	0	0	0
31311	1	0	0
32895	1	0	1
32600	1	0	0
33630	1	1	1
31698	0	0	0
30561	1	0	0
33567	1	1	1
33796	0	0	0
33050	1	0	1
34377	1	0	1
30752	0	0	0
33470	1	0	0
30338	0	0	1
32228	0	0	0
30111	0	0	0
30131	1	0	0
34140	0	0	0
32679	1	0	0
30757	1	0	1
32433	0	0	0
33084	0	0	0
30685	1	0	0
34515	1	0	0
33370	0	0	0
33116	1	0	0
34339	0	0	1
34330	0	0	0
33863	1	1	1
33042	1	0	0
33384	1	1	0
32008	1	1	1
33661	0	0	0
34304	0	0	0
33647	0	0	0
34204	1	0	1
32618	0	0	0
33739	1	1	0
32222	1	0	1
30143	0	0	0
33508	0	0	0
31125	1	0	1
33919	1	1	1
32063	0	0	0
34173	1	0	0
32143	1	0	0
34558	1	0	1
30956	1	0	0
30009	1	1	0
31572	1	0	0
31168	1	0	0
30825	1	0	1
30731	1	0	0
34197	0	0	0
31690	0	0	0
34272	1	1	0
33878	0	0	0
34409	1	1	0
30347	0	0	0
30177	1	1	1
33679	0	0	0
31734	1	1	1
31646	1	0	0
32030	0	0	0
31795	0	0	0
33465	0	0	0
32100	0	0	0
32750	1	0	0
31971	0	0	0
33240	1	1	0
34149	0	0	0
34475	1	1	1
31702	1	1	0
34504	0	0	0
30134	1	0	0
30061	0	0	0
31554	1	0	0
33097	1	0	1
33929	0	0	0
31328	1	0	0
30221	1	1	1
30258	1	0	0
30796	0	0	0
32984	1	1	1
33509	1	0	0
33166	0	0	0
30414	1	0	0
32547	0	0	0
33223	0	0	0
33455	0	0	0
32169	0	0	0
33845	0	0	0
31419	1	0	0
33306	0	0	0
31716	1	0	0
33241	0	0	0
33540	0	0	0
30589	0	0	1
33286	1	0	0
33325	1	0	0
30669	1	1	1
32432	0	0	1
30253	0	0	0
32508	0	0	0
